len	wid	rat	cir	pet	species
17.42	6.58	2.65	0.67	2.24	L_cadamensis
17.77	6.88	2.58	0.65	2.15	L_cadamensis
20.65	7.73	2.67	0.67	2.15	L_cadamensis
21.57	7.26	2.97	0.63	2.15	L_cadamensis
25.07	8.34	3.01	0.61	2.4	L_cadamensis
21.14	8.11	2.61	0.62	2.34	L_cadamensis
23.38	8.54	2.74	0.6	2.29	L_cadamensis
21.45	8.62	2.49	0.69	2.66	L_cadamensis
20.22	7.71	2.62	0.62	2.56	L_cadamensis
20.51	7.49	2.74	0.63	2.51	L_cadamensis
18.99	7.42	2.56	0.66	2.56	L_cadamensis
20.7	8.22	2.52	0.7	1.99	L_cadamensis
19.26	8.5	2.27	0.72	2.07	L_cadamensis
16.12	7.5	2.15	0.73	1.61	L_cadamensis
26.17	8.74	2.99	0.63	3.4	L_cadamensis
21.68	7.92	2.74	0.64	1.74	L_cadamensis
22.1	7.74	2.86	0.64	1.85	L_cadamensis
26.46	8.81	3	0.63	2.75	L_cadamensis
25.51	9.88	2.58	0.7	2.61	L_cadamensis
26.07	7.34	3.55	0.61	2.41	L_cadamensis
22.15	8.12	2.73	0.62	2.44	L_cadamensis
22.38	8.35	2.68	0.64	2.39	L_cadamensis
23.45	8.60	2.73	0.65	2.56	L_cadamensis
21.22	7.78	2.73	0.63	2.66	L_cadamensis
21.51	7.45	2.89	0.66	2.41	L_cadamensis
19.99	7.43	2.69	0.63	2.46	L_cadamensis
21.07	8.27	2.55	0.69	1.89	L_cadamensis
18.36	8.56	2.14	0.71	2.17	L_cadamensis
17.32	7.58	2.28	0.72	1.51	L_cadamensis
25.57	8.75	2.92	0.65	3.41	L_cadamensis
22.48	7.98	2.82	0.61	1.75	L_cadamensis
22.15	7.72	2.87	0.65	1.75	L_cadamensis
26.36	8.85	3.99	0.62	2.55	L_cadamensis
25.41	9.86	2.58	0.72	2.64	L_cadamensis
7.05	2.52	2.8	0.65	1	L_campylolepis
8.33	3.47	2.4	0.7	0.96	L_campylolepis
11.4	4.02	2.84	0.65	1.31	L_campylolepis
13.39	5.36	2.5	0.7	1.23	L_campylolepis
